Nm,Nm_pm,Bn,Bs,Bav,Fb
1,1,227,230,228.5,5.81
2,3,243,222,232.5,5.93
3,4,219,246,232.5,5.87
4,5,239,219,229.0,
5,6,244,219,231.5,5.88
6,7,230,227,228.5,5.83
7,10,214,242,228.0,5.84
8,11,234,233,233.5,5.94
9,12,243,216,229.5,5.84
10,13,231,232,231.5,5.89
11,14,222,232,227.0,5.85
12,15,220,242,231.0,5.91
13,16,232,229,230.5,5.91
14,17,233,236,234.5,5.96
15,18,250,215,232.5,5.86
16,18,249,215,232.0,5.87
17,21,232,224,228.0,5.86
18,22,223,239,231.0,5.89
19,23,221,243,232.0,5.94
20,24,235,235,235.0,5.98
21,25,221,244,232.5,5.93
22,26,240,224,232.0,5.88
23,27,233,229,231.0,5.89
24,30,226,239,232.5,5.92
25,31,234,221,227.5,5.86
26,33,240,220,230.0,5.86
27,34,221,244,232.5,5.9
28,37,220,240,230.0,5.86
29,38,239,218,228.5,5.88
30,40,239,226,232.5,5.97
31,41,232,229,230.5,5.89
32,42,239,220,229.5,5.86
33,85,242,216,229.0,5.85
34,86,234,227,230.5,5.89
35,87,234,226,230.0,5.91
36,88,235,229,232.0,5.92
37,89,244,223,233.5,5.96
38,90,238,218,228.0,5.82
39,91,220,245,232.5,5.93
40,92,242,226,234.0,5.97
41,93,232,233,232.5,5.9
42,94,221,240,230.5,5.89
43,95,235,228,231.5,5.91
44,96,233,230,231.5,5.91
45,97,241,220,230.5,5.92
46,98,248,219,233.5,5.89
47,99,233,232,232.5,5.91
48,100,221,242,231.5,5.91
49,101,224,237,230.5,5.91
50,102,237,221,229.0,5.88
51,103,217,234,225.5,5.8
52,104,224,238,231.0,5.91
53,105,234,230,232.0,5.93
54,106,230,235,232.5,5.91
55,107,241,222,231.5,5.91
56,108,220,236,228.0,5.83
57,109,235,229,232.0,5.93
58,110,225,243,234.0,5.97
59,111,230,232,231.0,5.91
60,112,237,222,229.5,5.9
61,113,236,222,229.0,5.87
62,114,221,233,227.0,5.84
63,115,224,239,231.5,5.93
64,116,233,234,233.5,5.95
65,117,233,234,233.5,5.94
66,118,220,233,226.5,5.8
67,119,242,217,229.5,5.88
68,120,241,221,231.0,5.89
69,121,231,234,232.5,5.91
70,122,232,235,233.5,5.94
71,123,232,231,231.5,5.91
72,124,216,240,228.0,5.91
73,125,247,218,232.5,5.89
74,126,225,240,232.5,5.95
75,129,224,233,228.5,5.9
76,130,220,235,227.5,5.84
77,131,223,242,232.5,5.94
78,133,235,235,235.0,5.97
79,134,231,231,231.0,5.91
80,135,245,222,233.5,5.96
81,136,245,216,230.5,5.85
82,138,228,235,231.5,5.91
83,139,240,221,230.5,
84,140,220,244,232.0,5.94
85,142,215,240,227.5,5.85
86,143,223,238,230.5,5.87
87,144,226,243,234.5,5.95
88,145,221,236,228.5,5.84
89,146,236,224,230.0,5.85
90,148,240,223,231.5,5.88
91,149,231,229,230.0,5.87
92,150,251,224,237.5,5.95
93,151,217,242,229.5,5.87
94,153,241,218,229.5,5.86
95,154,237,223,230.0,5.87
96,155,225,236,230.5,5.91
97,157,217,241,229.0,5.85
98,158,246,223,234.5,5.94
99,159,234,232,233.0,
100,160,232,235,233.5,5.92
101,161,233,237,235.0,5.94
102,163,218,244,231.0,5.91
103,164,221,239,230.0,5.87
104,165,219,246,232.5,5.89
105,166,223,238,230.5,5.87
106,167,233,237,235.0,5.98
107,168,213,250,231.5,5.88
108,169,230,232,231.0,5.87
109,170,228,239,233.5,5.96
110,171,233,233,233.0,5.93
111,172,238,224,231.0,5.91
112,173,240,220,230.0,5.85
113,174,230,229,229.5,
114,175,231,229,230.0,5.86
115,177,224,237,230.5,5.91
116,178,230,230,230.0,5.87
117,179,220,239,229.5,5.84
118,180,232,233,232.5,5.93
119,181,234,231,232.5,5.91
120,182,232,233,232.5,5.86
121,183,230,236,233.0,5.84
122,184,231,233,232.0,
123,185,231,229,230.0,5.91
124,186,231,224,227.5,5.87
125,187,234,218,226.0,
126,188,240,217,228.5,5.91
127,189,243,218,230.5,5.91
128,191,231,232,231.5,5.94
129,192,217,241,229.0,5.89
130,193,233,235,234.0,5.89
131,194,242,215,228.5,
132,195,226,241,233.5,5.9
133,196,237,221,229.0,5.86
134,197,236,223,229.5,5.88
135,198,241,223,232.0,5.88
136,199,220,242,231.0,5.89
137,201,242,220,231.0,5.87
138,202,234,221,227.5,5.83
139,203,239,223,231.0,5.9
140,204,232,236,234.0,5.93
141,205,220,242,231.0,5.89
142,206,234,238,236.0,5.98
143,207,240,219,229.5,5.86
144,208,232,234,233.0,5.94
145,211,242,227,234.5,
146,212,224,239,231.5,5.88
147,213,217,248,232.5,5.92
148,214,232,229,230.5,5.92
149,215,240,218,229.0,5.87
150,216,240,225,232.5,5.89
151,217,222,242,232.0,5.87
152,218,233,231,232.0,5.96
153,219,240,215,227.5,5.84
154,221,237,222,229.5,5.83
155,222,232,231,231.5,5.92
156,223,248,224,236.0,5.99
157,224,221,237,229.0,5.85
158,225,233,230,231.5,5.8
159,226,239,216,227.5,5.8
160,228,231,230,230.5,5.85
161,229,242,213,227.5,5.83
162,231,231,234,232.5,5.97
163,234,223,245,234.0,5.92
164,235,219,249,234.0,5.96
165,236,220,242,231.0,5.87
166,238,237,233,235.0,6.0
167,240,237,223,230.0,
168,241,214,246,230.0,5.85
169,242,229,237,233.0,5.96
170,243,239,227,233.0,5.9
171,244,214,241,227.5,5.87
172,245,235,235,235.0,6.01
173,246,242,216,229.0,5.85
174,247,217,239,228.0,5.86
175,248,229,231,230.0,5.93
176,249,235,229,232.0,5.94
177,251,240,216,228.0,5.82
178,337,231,234,232.5,5.94
179,338,222,236,229.0,5.82
180,339,216,242,229.0,5.89
181,340,236,225,230.5,5.81
182,341,210,243,5.85,5.85
183,342,228,229,228.5,5.86
184,343,230,229,229.5,5.89
185,344,236,224,230.0,5.84
186,345,242,211,226.5,5.85
187,347,230,235,232.5,5.97
188,348,219,237,228.0,5.81
189,349,213,239,226.0,5.81
190,350,219,240,229.5,5.86
191,351,230,231,230.5,5.94
192,352,219,239,229.0,5.85
193,353,229,234,231.5,5.94
194,354,241,221,231.0,
195,356,232,231,231.5,5.94
196,357,216,235,225.5,5.8
197,358,233,233,233.0,5.97
198,359,232,227,229.5,
199,361,237,224,230.5,
200,362,223,238,230.5,5.85
201,363,219,237,228.0,5.85
202,364,243,213,228.0,5.85
203,366,231,229,230.0,5.87
204,367,222,240,231.0,5.92
205,368,231,230,230.5,
206,369,214,240,227.0,5.83
207,370,245,209,227.0,5.84
208,371,215,234,224.5,5.79
209,372,230,232,231.0,5.94
210,373,229,232,230.5,5.94
211,374,224,240,232.0,5.93
212,375,214,243,228.5,5.88
213,376,232,232,232.0,5.91
214,377,223,236,229.5,5.91
215,378,236,241,238.5,5.91
216,379,234,216,225.0,5.78
217,380,238,223,230.5,5.87
218,381,227,229,228.0,5.82
219,382,245,213,229.0,5.89
220,383,217,240,228.5,5.83
221,384,216,238,227.0,5.76
222,385,241,212,226.5,
223,386,243,216,229.5,5.75
224,387,227,232,229.5,5.94
225,388,215,239,227.0,5.79
226,389,230,227,228.5,5.89
227,390,214,238,226.0,5.75
228,391,231,229,230.0,5.88
229,392,214,241,227.5,5.86
230,394,221,240,230.5,5.91
231,396,230,232,231.0,5.93
232,397,241,216,228.5,5.83
233,398,228,230,229.0,5.93
234,399,241,209,225.0,5.8
235,400,230,226,228.0,5.9
236,401,239,225,232.0,5.9
237,402,230,231,230.5,5.9
238,403,241,212,226.5,5.79
239,405,231,230,230.5,5.92
240,406,223,336,279.5,5.84
241,407,238,221,229.5,5.86
242,409,231,228,229.5,5.96
243,410,244,218,231.0,5.91
244,411,229,227,228.0,5.87
245,412,236,224,230.0,5.83
246,413,237,222,229.5,5.86
247,415,221,237,229.0,5.85
248,417,220,236,228.0,5.83
249,419,218,238,228.0,5.8
250,420,239,218,228.5,5.85
251,421,233,231,232.0,5.96
252,422,223,235,229.0,5.89
254,423,211,237,224.0,5.76
255,425,243,215,229.0,5.86
256,426,218,240,229.0,5.85
257,427,238,215,226.5,5.8
258,428,227,229,228.0,5.78
259,429,234,214,224.0,5.76
260,430,238,227,232.5,5.91
261,431,236,215,225.5,5.76
262,432,215,235,225.0,5.73
263,433,211,244,227.5,5.83
264,436,220,239,229.5,5.84
265,437,237,235,236.0,5.96
266,440,232,234,233.0,5.98
267,441,220,242,231.0,5.94
268,442,217,242,229.5,5.89
269,443,233,232,232.5,5.98
270,444,240,222,231.0,5.89
271,445,232,231,231.5,5.95
272,446,241,213,227.0,5.8
274,448,222,228,225.0,5.8
275,449,215,237,226.0,5.79
276,452,239,216,227.5,5.82
277,453,219,237,228.0,5.8
278,454,227,228,227.5,5.87
279,455,229,227,228.0,5.89
280,456,219,243,231.0,5.94
281,458,238,219,228.5,5.87
282,459,244,216,230.0,5.91
283,460,219,244,231.5,5.89
284,462,227,239,233.0,5.88
285,463,231,230,230.5,5.93
286,464,224,239,231.5,5.88
287,465,231,231,231.0,5.91
288,466,241,211,226.0,5.8
289,467,216,240,228.0,5.84
290,468,220,236,228.0,5.8
291,469,239,221,230.0,5.87
292,470,230,230,230.0,5.94
293,471,234,228,231.0,5.92
294,472,241,226,233.5,5.92
295,474,228,236,232.0,5.88
296,475,236,226,231.0,5.87
297,477,238,217,227.5,5.86
298,478,222,239,230.5,5.86
299,479,221,240,230.5,5.87
300,480,231,229,230.0,5.92
301,481,232,231,231.5,5.94
302,483,240,220,230.0,5.88
303,484,243,215,229.0,5.87
304,485,227,235,231.0,5.87
305,486,231,230,230.5,5.88
306,487,230,229,229.5,5.92
307,488,228,234,231.0,5.9
308,489,219,232,225.5,5.79
309,490,221,241,231.0,5.86
310,491,220,239,229.5,5.88
