Npair,Nm1,Nm2,Bpair_N,Bpair_S,Bpair_av,Fpair_N,Fpair_S,Fpair_av
1,5,15,345,346,345.5,11.75590551,11.75590551,11.75590551
2,11,17,343,345,344.0,11.8976378,11.8976378,11.8976378
3,102,108,342,341,341.5,11.74015748,11.74015748,11.74015748
4,105,121,342,342,342.0,11.85826772,11.85826772,11.85826772
5,107,100,347,349,348.0,11.8503937,11.8503937,11.8503937
6,109,118,339,340,339.5,11.7480315,11.7480315,11.7480315
7,112,104,345,343,344.0,11.81102362,11.81102362,11.81102362
8,113,101,343,343,343.0,11.81102362,11.81102362,11.81102362
9,119,140,347,349,348.0,11.86614173,11.86614173,11.86614173
10,12,151,349,346,347.5,11.73228346,11.73228346,11.73228346
11,120,110,348,348,348.0,11.88188976,11.88188976,11.88188976
12,123,122,341,344,342.5,11.84251969,11.84251969,11.84251969
13,125,2905,351,347,349.0,11.76377953,11.76377953,11.76377953
14,127,29,342,344,343.0,11.92913386,11.92913386,11.92913386
16,133,160,343,344,343.5,11.88188976,11.88188976,11.88188976
17,135,447,347,346,346.5,11.7480315,11.7480315,11.7480315
18,137,695,342,342,342.0,11.8976378,11.8976378,11.8976378
19,139,502,345,348,346.5,11.81102362,11.82677165,11.81889764
20,141,35,341,342,341.5,11.92913386,11.92913386,11.92913386
21,146,764,345,341,343.0,11.86,11.85,11.855
22,147,36,340,341,340.5,11.8503937,11.8503937,11.8503937
23,148,374,347,345,346.0,11.81102362,11.81102362,11.81102362
24,149,191,339,339,339.0,11.81889764,11.81889764,11.81889764
25,150,375,353,352,352.5,11.90551181,11.90551181,11.90551181
26,152,39,348,346,347.0,11.88188976,11.88188976,11.88188976
27,153,426,346,344,345.0,11.74,11.75,11.745
28,154,377,342,342,342.0,11.77952756,11.77952756,11.77952756
29,156,19,346,346,346.0,11.81,11.77,11.79
30,158,349,348,346,347.0,11.81102362,11.81102362,11.81102362
31,159,571,342,343,342.5,11.92125984,11.92913386,11.92519685
32,16,87,341,340,340.5,11.82677165,11.84251969,11.83464567
33,162,2,349,350,349.5,11.88188976,11.88188976,11.88188976
34,167,1,339,340,339.5,11.79527559,11.79527559,11.79527559
35,171,13,342,342,342.0,11.82677165,11.82677165,11.82677165
36,172,143,344,344,344.0,11.78740157,11.78740157,11.78740157
37,174,184,338,340,339.0,11.81102362,11.82677165,11.81889764
38,175,169,339,339,339.0,11.76377953,11.76377953,11.76377953
39,176,8,340,343,341.5,11.8503937,11.8503937,11.8503937
40,18,1877,353,354,353.5,11.81102362,11.81102362,11.81102362
41,181,14,340,340,340.0,11.68503937,11.68503937,11.69
42,1818,1881,351,349,350.0,11.83464567,11.8503937,11.84251969
43,1849,555,345,343,344.2380952,11.71653543,11.71653543,11.82764529
44,185,116,341,342,341.5,11.88976378,11.88976378,11.88976378
45,1851,1850,338,340,339.0,11.86614173,11.86614173,11.86614173
