П/П;№ ПМ;Nm1;Nm2;В на пов-ти, мТл, N;В на пов-ти, мТл, S;Среднее В пары;Отклон. Вср пары от Вср группы; Поток, мВб, N;Поток, мВб, S;Средн. Ф пары;Отклон. от средн. Ф группы; Ф N, мВб        измер на КГ ПМ  К=1,27;Ф S, мВб измер на КГ ПМ  К=1,27;;;;;
1;5 - 15;5;15;345;346;345,5;0,49;11,76;11,76;11,76;-0,63;14,93;14,93;;;;;
2;11 - 17;11;17;343;345;344;0,06;11,90;11,90;11,90;0,57;15,11;15,11;;;;;
3;102 - 108;102;108;342;341;341,50;-0,67;11,74;11,74;11,74;-0,76;14,91;14,91;;;;;
4;105 - 121;105;121;342;342;342,00;-0,52;11,86;11,86;11,86;0,24;15,06;15,06;;;;;
5;107 - 100;107;100;347;349;348,00;1,22;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
6;109 - 118;109;118;339;340;339,50;-1,25;11,75;11,75;11,75;-0,69;14,92;14,92;;;;;
7;112 - 104;112;104;345;343;344,00;0,06;11,81;11,81;11,81;-0,16;15;15;;;;;
8;113 - 101;113;101;343;343;343,00;-0,23;11,81;11,81;11,81;-0,16;15;15;;;;;
9;119 - 140;119;140;347;349;348,00;1,22;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
10;12 - 151;12;151;349;346;347,50;1,08;11,73;11,73;11,73;-0,83;14,9;14,9;;;;;
11;120 - 110;120;110;348;348;348,00;1,22;11,88;11,88;11,88;0,44;15,09;15,09;;;;;
12;123 - 122;123;122;341;344;342,50;-0,38;11,84;11,84;11,84;0,11;15,04;15,04;;;;;
13;125 - 2905;125;2905;351;347;349,00;1,51;11,76;11,76;11,76;-0,56;14,94;14,94;;;;;
14;127 - 29;127;29;342;344;343,00;-0,23;11,93;11,93;11,93;0,84;15,15;15,15;;;;;
15;128 - ;128;;340;347;343,50;-0,09;11,92;11,92;11,92;0,77;15,14;15,14;;;;;
16;133 - 160;133;160;343;344;343,50;-0,09;11,88;11,88;11,88;0,44;15,09;15,09;;;;;
17;135 - 447;135;447;347;346;346,50;0,79;11,75;11,75;11,75;-0,69;14,92;14,92;;;;;
18;137 - 695;137;695;342;342;342,00;-0,52;11,90;11,90;11,90;0,57;15,11;15,11;;;;;
19;139 - 502;139;502;345;348;346,5;0,79;11,81;11,83;11,82;-0,09;15;15,02;;;;;
20;141 - 35;141;35;341;342;341,50;-0,67;11,93;11,93;11,93;0,84;15,15;15,15;;;;;
21;146 - 764;146;764;345;341;343,00;-0,23;11,86;11,85;11,86;0,21;;;;;;;
22;147 - 36;147;36;340;341;340,50;-0,96;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
23;148 - 374;148;374;347;345;346,00;0,64;11,81;11,81;11,81;-0,16;15;15;;;;;
24;149 - 191;149;191;339;339;339,00;-1,40;11,82;11,82;11,82;-0,09;15,01;15,01;;;;;
25;150 - 375;150;375;353;352;352,5;2,53;11,91;11,91;11,91;0,64;15,12;15,12;;;;;
26;152 - 39;152;39;348;346;347,00;0,93;11,88;11,88;11,88;0,44;15,09;15,09;;;;;
27;153 - 426;153;426;346;344;345,00;0,35;11,74;11,75;11,75;-0,72;14,96;14,96;;;;;
28;154 - 377;154;377;342;342;342,00;-0,52;11,78;11,78;11,78;-0,43;14,96;14,96;;;;;
29;156 - 19;156;19;346;346;346;0,64;11,81;11,77;11,79;-0,34;15,01;14,95;;;;;
30;158 - 349;158;349;348;346;347,00;0,93;11,81;11,81;11,81;-0,16;15;15;;;;;
31;159 - 571;159;571;342;343;342,5;-0,38;11,92;11,93;11,93;0,80;15,14;15,15;;;;;
32;16 -787;16;87;341;340;340,50;-0,96;11,83;11,84;11,83;0,04;15,02;15,04;;;;;
33;162 - 2;162;2;349;350;349,50;1,66;11,88;11,88;11,88;0,44;15,09;15,09;;;;;
34;167 - 1;167;1;339;340;339,50;-1,25;11,80;11,80;11,80;-0,29;14,98;14,98;;;;;
35;171 - 13;171;13;342;342;342,00;-0,52;11,83;11,83;11,83;-0,03;15,02;15,02;;;;;
36;172 - 143;172;143;344;344;344,00;0,06;11,79;11,79;11,79;-0,36;14,97;14,97;;;;;
37;174 - 184;174;184;338;340;339,00;-1,40;11,81;11,83;11,82;-0,09;15;15,02;;;;;
38;175 - 169;175;169;339;339;339,00;-1,40;11,76;11,76;11,76;-0,56;14,94;14,94;;;;;
39;176 - 8;176;8;340;343;341,50;-0,67;11,85;11,85;11,85;0,17;15,05;15,05;;;;;
40;18 - 1877;18;1877;353;354;353,50;2,82;11,81;11,81;11,81;-0,16;15;15;;;;;
41;181 - 14;181;14;340;340;340,00;-1,11;11,69;11,69;11,69;-1,18;14,84;14,84;;;;;
42;1818 - 1881;1818;1881;351;349;350,00;1,80;11,83;11,85;11,84;0,11;15,03;15,05;;;;;
43;1849 - 555;1849;555;345;343;344,24;0,13;11,72;11,72;11,83;-0,02;14,88;14,88;;;;;
44;185 - 116;185;116;341;342;341,50;-0,67;11,89;11,89;11,89;0,51;15,1;15,1;;;;;
45;1851 - 1850;1851;1850;338;340;339,00;-1,40;11,87;11,87;11,87;0,31;15,07;15,07;;;;;
