Nm,Bm_N,Bm_S,Fm
2556.0,224.0,242.0,5.937007874
2557.0,236.0,228.0,5.929133858
2558.0,231.0,234.0,5.960629921
2559.0,218.0,245.0,5.905511811
2560.0,242.0,218.0,5.834645669
2561.0,210.0,248.0,5.897637795
2562.0,215.0,247.0,5.874015748
2549.0,233.0,239.0,5.960629921
2550.0,229.0,231.0,5.881889764
2551.0,227.0,241.0,5.937007874
2552.0,245.0,215.0,5.88976378
2553.0,231.0,235.0,5.94488189
2554.0,222.0,241.0,5.913385827
2555.0,243.0,219.0,5.897637795
2548.0,223.0,242.0,5.921259843
2547.0,234.0,233.0,5.960629921
2546.0,216.0,240.0,5.866141732
2545.0,244.0,224.0,5.94488189
2544.0,245.0,223.0,5.960629921
2543.0,248.0,212.0,5.897637795
2542.0,231.0,234.0,5.952755906
2535.0,243.0,222.0,5.921259843
2536.0,229.0,236.0,5.94488189
2537.0,227.0,245.0,5.960629921
2538.0,231.0,230.0,5.897637795
2539.0,232.0,232.0,5.94488189
2540.0,233.0,231.0,5.937007874
2541.0,221.0,239.0,5.866141732
2534.0,234.0,231.0,5.960629921
2533.0,226.0,242.0,5.94488189
2532.0,243.0,225.0,5.952755906
2531.0,214.0,246.0,5.88976378
2530.0,243.0,219.0,5.874015748
2529.0,217.0,245.0,5.897637795
2528.0,233.0,234.0,5.952755906
2521.0,236.0,230.0,5.968503937
2522.0,241.0,219.0,5.881889764
2523.0,231.0,235.0,5.952755906
2524.0,233.0,232.0,5.937007874
2525.0,242.0,221.0,5.905511811
2526.0,243.0,215.0,5.88976378
2527.0,211.0,244.0,5.874015748
2842.0,241.0,221.0,5.897637795
2841.0,232.0,234.0,5.960629921
2840.0,245.0,227.0,5.968503937
2839.0,234.0,229.0,5.929133858
2838.0,243.0,225.0,5.921259843
2837.0,215.0,245.0,5.88976378
2836.0,234.0,231.0,5.937007874
2843.0,225.0,239.0,5.913385827
2844.0,219.0,245.0,5.897637795
2845.0,232.0,233.0,5.952755906
2846.0,234.0,232.0,5.952755906
2847.0,243.0,231.0,5.968503937
2848.0,233.0,233.0,5.937007874
2849.0,243.0,213.0,5.881889764
2850.0,242.0,219.0,5.984251969
2851.0,227.0,240.0,5.913385827
2852.0,233.0,229.0,5.921259843
2853.0,211.0,243.0,5.842519685
2854.0,217.0,242.0,5.874015748
2855.0,239.0,215.0,5.834645669
2856.0,245.0,217.0,5.905511811
2815.0,241.0,227.0,5.913385827
2816.0,230.0,234.0,5.937007874
2817.0,231.0,234.0,5.94488189
2818.0,243.0,224.0,5.937007874
2819.0,245.0,217.0,5.897637795
2820.0,213.0,245.0,5.850393701
2821.0,244.0,220.0,5.913385827
703.0,236.0,232.0,5.87
1874.0,231.0,231.0,5.98
213.0,217.0,248.0,5.92
761.0,219.0,242.0,5.87
623.0,219.0,242.0,5.87
786.0,218.0,241.0,5.86
124.0,216.0,240.0,5.91
142.0,215.0,240.0,5.85
190.0,213.0,240.0,5.81
212.0,224.0,239.0,5.88
584.0,223.0,239.0,5.87
593.0,222.0,239.0,5.87
436.0,220.0,239.0,5.84
498.0,216.0,239.0,5.81
388.0,215.0,239.0,5.79
419.0,218.0,238.0,5.8
798.0,218.0,238.0,5.86
390.0,214.0,238.0,5.75
1857.0,222.0,237.0,5.86
32.0,222.0,237.0,5.86
423.0,211.0,237.0,5.75
337.0,230.0,233.0,5.94
2828.0,240.0,220.0,5.881889764
2827.0,244.0,220.0,5.88976378
2826.0,235.0,232.0,5.976377953
2825.0,246.0,212.0,5.866141732
2824.0,235.0,232.0,5.968503937
2823.0,237.0,224.0,5.874015748
2822.0,229.0,232.0,5.921259843
2829.0,233.0,231.0,5.94488189
2830.0,236.0,233.0,5.992125984
2831.0,225.0,242.0,5.937007874
2832.0,241.0,220.0,5.897637795
2833.0,211.0,244.0,5.866141732
2834.0,242.0,221.0,5.905511811
2835.0,233.0,231.0,5.937007874
1912.0,243.0,216.0,5.88976378
1913.0,229.0,239.0,5.905511811
1914.0,220.0,236.0,5.858267717
1915.0,223.0,238.0,5.881889764
1916.0,242.0,216.0,5.905511811
1917.0,240.0,216.0,5.874015748
1918.0,239.0,217.0,5.842519685
1919.0,220.0,240.0,5.858267717
1920.0,220.0,243.0,5.905511811
1921.0,233.0,230.0,5.921259843
1922.0,216.0,242.0,5.866141732
1923.0,245.0,217.0,5.905511811
1924.0,241.0,217.0,5.850393701
1925.0,217.0,244.0,5.897637795
1926.0,233.0,232.0,5.968503937
1927.0,217.0,241.0,5.826771654
1928.0,230.0,231.0,5.921259843
1929.0,241.0,233.0,5.905511811
1930.0,214.0,245.0,5.897637795
1931.0,232.0,232.0,5.952755906
1932.0,233.0,232.0,5.952755906
1891.0,245.0,220.0,5.94488189
1892.0,233.0,230.0,5.937007874
1893.0,218.0,245.0,5.881889764
1894.0,232.0,229.0,5.858267717
1895.0,221.0,240.0,5.866141732
1896.0,234.0,230.0,5.937007874
1897.0,234.0,234.0,5.984251969
1898.0,216.0,241.0,5.874015748
1899.0,234.0,235.0,5.992125984
1900.0,234.0,228.0,5.952755906
1901.0,218.0,240.0,5.881889764
1902.0,226.0,235.0,5.937007874
1903.0,233.0,230.0,5.913385827
1904.0,232.0,239.0,5.881889764
1905.0,225.0,239.0,5.905511811
1906.0,232.0,230.0,5.94488189
1907.0,233.0,229.0,5.913385827
1908.0,242.0,217.0,5.881889764
1909.0,229.0,231.0,5.94488189
1910.0,244.0,220.0,5.921259843
1911.0,216.0,240.0,5.834645669
288.0,220.0,246.0,5.897637795275591
289.0,219.0,248.0,5.905511811023622
290.0,229.0,226.0,5.874015748031496
291.0,229.0,237.0,5.94488188976378
292.0,231.0,239.0,5.897637795275591
293.0,236.0,235.0,5.94488188976378
294.0,237.0,229.0,5.897637795275591
281.0,235.0,223.0,5.858267716535433
282.0,233.0,235.0,5.921259842519684
283.0,234.0,232.0,5.921259842519684
284.0,222.0,243.0,5.881889763779527
285.0,243.0,222.0,5.889763779527559
286.0,233.0,232.0,5.881889763779527
287.0,233.0,230.0,5.858267716535433
280.0,241.0,224.0,5.921259842519684
279.0,221.0,240.0,5.874015748031496
278.0,233.0,224.0,5.811023622047244
277.0,243.0,221.0,5.897637795275591
276.0,218.0,241.0,5.84251968503937
275.0,240.0,218.0,5.850393700787401
274.0,230.0,236.0,5.937007874015748
273.0,231.0,233.0,5.929133858267717
272.0,242.0,222.0,5.905511811023622
271.0,241.0,220.0,5.889763779527559
270.0,214.0,236.0,5.779527559055118
269.0,237.0,226.0,5.905511811023622
268.0,221.0,242.0,5.897637795275591
267.0,233.0,232.0,5.960629921259843
266.0,244.0,231.0,5.960629921259843
265.0,216.0,243.0,5.921259842519684
264.0,227.0,234.0,6.0
263.0,245.0,216.0,5.897637795275591
262.0,233.0,232.0,5.937007874015748
261.0,219.0,240.0,5.850393700787401
260.0,232.0,233.0,5.905511811023622
259.0,214.0,243.0,5.834645669291339
258.0,218.0,243.0,5.874015748031496
257.0,220.0,241.0,5.881889763779527
256.0,236.0,225.0,5.881889763779527
255.0,243.0,219.0,5.874015748031496
254.0,219.0,237.0,5.818897637795275
253.0,233.0,235.0,5.874015748031496
11.0,234.0,233.0,5.94
102.0,237.0,221.0,5.88
105.0,234.0,230.0,5.93
107.0,241.0,222.0,5.91
109.0,235.0,229.0,5.93
112.0,237.0,222.0,5.9
113.0,236.0,222.0,5.87
119.0,242.0,217.0,5.88
12.0,243.0,216.0,5.84
120.0,241.0,221.0,5.89
123.0,232.0,231.0,5.91
125.0,247.0,218.0,5.89
133.0,235.0,235.0,5.97
135.0,245.0,222.0,5.95
137.0,233.0,229.0,5.91
146.0,236.0,224.0,5.85
148.0,240.0,223.0,5.88
149.0,231.0,229.0,5.87
150.0,251.0,224.0,5.95
153.0,241.0,218.0,5.86
154.0,237.0,223.0,5.87
158.0,246.0,223.0,5.94
16.0,232.0,229.0,5.91
167.0,233.0,237.0,5.98
171.0,233.0,233.0,5.93
172.0,238.0,224.0,5.91
175.0,231.0,229.0,5.86
18.0,250.0,215.0,5.86
181.0,234.0,231.0,5.91
1849.0,241.0,221.0,5.87
185.0,231.0,229.0,5.91
1851.0,231.0,229.0,5.92
1853.0,244.0,217.0,5.93
1854.0,230.0,229.0,5.94
186.0,231.0,224.0,5.87
1861.0,240.0,224.0,5.89
1862.0,231.0,233.0,5.84
1863.0,242.0,217.0,5.87
1864.0,233.0,223.0,5.87
1871.0,234.0,230.0,5.95
1872.0,245.0,218.0,5.93
1873.0,236.0,226.0,5.87
1875.0,239.0,223.0,5.9
1876.0,241.0,219.0,5.91
1878.0,237.0,218.0,5.85
188.0,240.0,217.0,5.91
1880.0,240.0,216.0,5.83
1882.0,237.0,224.0,5.9
1887.0,234.0,230.0,5.94
189.0,243.0,218.0,5.91
1890.0,243.0,221.0,5.96
196.0,237.0,221.0,5.86
197.0,236.0,223.0,5.88
198.0,241.0,223.0,5.88
201.0,242.0,220.0,5.87
202.0,234.0,221.0,5.83
203.0,239.0,223.0,5.9
207.0,240.0,219.0,5.86
21.0,232.0,224.0,5.86
215.0,240.0,218.0,5.87
216.0,240.0,225.0,5.89
218.0,233.0,231.0,5.96
221.0,237.0,222.0,5.83
222.0,232.0,231.0,5.92
223.0,248.0,224.0,5.99
225.0,233.0,230.0,5.8
226.0,239.0,216.0,5.8
229.0,242.0,213.0,5.83
238.0,237.0,233.0,6.0
24.0,235.0,235.0,5.98
243.0,239.0,227.0,5.9
245.0,235.0,235.0,6.01
246.0,242.0,216.0,5.85
249.0,235.0,229.0,5.94
26.0,240.0,224.0,5.88
2899.0,231.0,231.0,5.95
2900.0,244.0,212.0,5.89
2902.0,244.0,221.0,5.94
2906.0,243.0,219.0,5.9
2908.0,246.0,219.0,5.94
3.0,243.0,222.0,5.93
31.0,234.0,221.0,5.86
33.0,240.0,220.0,5.86
340.0,236.0,225.0,5.81
344.0,236.0,224.0,5.84
345.0,242.0,211.0,5.85
351.0,230.0,231.0,5.94
356.0,232.0,231.0,5.94
