Nm1,Bm1_N,Bm1_S,Fm1,Nm2,Bm2_N,Bm2_S,Fm2,Bpair_N,Bpair_S,Fpair_N
11,234,233,5.94,17,233,236,5.96,343,345,11.9
102,237,221,5.88,108,220,236,5.83,342,341,11.74
105,234,230,5.93,121,231,234,5.91,342,342,11.86
107,241,222,5.91,100,221,242,5.91,347,349,11.85
109,235,229,5.93,118,220,233,5.8,339,340,11.75
112,237,222,5.9,104,224,238,5.91,345,343,11.81
113,236,222,5.87,101,224,237,5.91,343,343,11.81
119,242,217,5.88,140,220,244,5.94,347,349,11.87
12,243,216,5.84,151,217,242,5.87,349,346,11.73
120,241,221,5.89,110,225,243,5.97,348,348,11.88
123,232,231,5.91,122,232,235,5.94,341,344,11.84
125,247,218,5.89,2905,211,241,5.86,351,347,11.76
133,235,235,5.97,160,232,235,5.92,343,344,11.88
135,245,222,5.95,447,210,237,5.73,347,346,11.75
137,233,229,5.91,695,229,233,5.94,342,342,11.9
146,236,224,5.85,764,231,235,5.98,345,341,11.86
148,240,223,5.88,374,224,240,5.93,347,345,11.81
149,231,229,5.87,191,231,232,5.94,339,339,11.82
150,251,224,5.95,375,214,243,5.88,353,352,11.91
153,241,218,5.86,426,218,240,5.85,346,344,11.74
154,237,223,5.87,377,223,236,5.91,342,342,11.78
158,246,223,5.94,349,213,239,5.81,348,346,11.81
16,232,229,5.91,787,231,231,5.93,341,340,11.83
167,233,237,5.98,1,227,230,5.81,339,340,11.8
171,233,233,5.93,13,231,232,5.89,342,342,11.83
172,238,224,5.91,143,223,238,5.87,344,344,11.79
175,231,229,5.86,169,230,232,5.87,339,339,11.76
18,250,215,5.86,1877,211,249,5.92,353,354,11.81
181,234,231,5.91,14,222,232,5.85,340,340,11.69
1849,241,221,5.87,555,214,238,5.8,345,343,11.72
185,231,229,5.91,116,233,234,5.95,341,342,11.89
1851,231,229,5.92,1850,227,231,5.9,338,340,11.87
1853,244,217,5.93,1855,218,242,5.87,349,348,11.86
1854,230,229,5.94,1856,228,231,5.92,339,340,11.9
186,231,224,5.87,2907,227,233,5.91,339,339,11.78
1861,240,224,5.89,1865,218,239,5.83,345,344,11.79
1862,231,233,5.84,1868,233,232,5.97,342,341,11.87
1863,242,217,5.87,1867,217,241,5.9,348,346,11.83
1864,233,223,5.87,500,225,233,5.91,340,339,11.83
1871,234,230,5.95,1889,230,232,5.95,343,341,11.94
1872,245,218,5.93,1870,216,242,5.87,350,346,11.85
1873,236,226,5.87,782,228,240,5.97,342,346,11.9
1875,239,223,5.9,115,224,239,5.93,346,344,11.86
1876,241,219,5.91,2910,219,242,5.9,346,347,11.85
1878,237,218,5.85,1886,212,236,5.77,341,341,11.69
188,240,217,5.91,661,217,241,5.87,345,345,11.81
1880,240,216,5.83,192,217,241,5.89,344,345,11.74
1882,237,224,5.9,706,217,238,5.83,342,345,11.8
1887,234,230,5.94,1884,231,234,5.96,342,343,11.95
189,243,218,5.91,567,215,241,5.85,349,345,11.79
1890,243,221,5.96,217,222,242,5.87,350,347,11.87
196,237,221,5.86,453,219,237,5.8,342,343,11.75
197,236,223,5.88,357,216,235,5.8,340,341,11.72
198,241,223,5.88,144,226,243,5.95,347,348,11.83
201,242,220,5.87,224,221,237,5.85,346,342,11.82
202,234,221,5.83,129,224,233,5.9,341,338,11.73
203,239,223,5.9,573,225,241,5.91,345,347,11.85
207,240,219,5.86,491,220,239,5.88,346,345,11.8
21,232,224,5.86,180,232,233,5.93,342,340,11.8
215,240,218,5.87,608,216,242,5.88,345,347,11.78
216,240,225,5.89,548,224,240,5.89,346,345,11.81
218,233,231,5.96,358,233,233,5.97,343,342,11.95
221,237,222,5.83,776,225,241,5.92,346,348,11.8
222,232,231,5.92,675,230,232,5.92,340,341,11.85
223,248,224,5.99,4,219,246,5.87,352,351,11.89
225,233,230,5.8,193,233,235,5.89,342,345,11.82
226,239,216,5.8,773,224,243,5.92,347,346,11.8
229,242,213,5.83,234,223,245,5.92,348,348,11.79
238,237,233,6.0,103,217,234,5.8,341,345,11.82
24,235,235,5.98,758,234,234,5.98,344,343,11.96
243,239,227,5.9,579,221,236,5.85,343,341,11.81
245,235,235,6.01,204,232,236,5.93,345,346,11.83
246,242,216,5.85,235,219,249,5.96,347,350,11.85
249,235,229,5.94,574,227,236,5.86,341,344,11.83
26,240,224,5.88,126,225,240,5.95,346,347,11.84
2899,231,231,5.95,2904,229,231,5.92,339,340,11.87
2900,244,212,5.89,686,217,242,5.89,349,345,11.8
2902,244,221,5.94,34,221,244,5.9,351,351,11.83
2906,243,219,5.9,142,215,240,5.85,347,345,11.77
2908,246,219,5.94,369,214,240,5.83,349,346,11.81
3,243,222,5.93,179,220,239,5.84,349,345,11.82
31,234,221,5.86,155,225,236,5.91,341,342,11.75
33,240,220,5.86,460,219,244,5.89,346,349,11.78
340,236,225,5.81,20,226,237,5.92,343,340,11.77
344,236,224,5.84,177,224,237,5.91,344,342,11.78
345,242,211,5.85,616,217,246,5.9,348,350,11.77
351,230,231,5.94,454,227,228,5.87,338,338,11.85
356,232,231,5.94,178,230,230,5.87,340,339,11.83
361,235,223,5.83,1859,226,238,5.89,342,343,11.78
364,243,213,5.85,339,216,242,5.89,347,345,11.76
366,231,229,5.87,795,231,236,6.0,341,345,11.89
370,245,209,5.84,168,213,250,5.88,349,352,11.75
376,232,232,5.91,161,233,237,5.94,342,345,11.92
378,236,241,5.91,488,228,234,5.9,342,341,11.84
379,234,216,5.78,30,226,239,5.92,340,342,11.72
38,239,218,5.88,478,222,239,5.86,349,346,11.78
380,238,223,5.87,195,226,241,5.9,343,345,11.8
382,245,213,5.89,392,214,241,5.86,349,344,11.8
386,243,216,5.75,655,219,245,5.85,349,348,11.8
389,230,227,5.89,495,229,230,5.91,339,337,11.81
391,231,229,5.88,353,229,234,5.94,340,342,11.86
397,241,216,5.83,765,220,243,5.91,345,345,11.78
399,241,209,5.8,680,217,245,5.93,345,347,11.75
40,239,226,5.97,449,215,237,5.79,341,344,11.77
400,230,226,5.9,618,231,234,5.95,339,341,11.88
401,239,225,5.9,467,216,240,5.84,344,347,11.78
403,241,212,5.79,688,217,242,5.91,345,344,11.73
405,231,230,5.92,794,231,234,5.94,340,342,11.91
407,238,221,5.86,350,219,240,5.86,343,345,11.77
409,231,228,5.96,448,222,228,5.8,339,337,11.82
41,232,229,5.89,2909,230,234,5.94,341,342,11.83
410,244,218,5.91,677,224,247,5.9,351,352,11.91
411,229,227,5.87,714,230,231,5.93,338,338,11.8
412,236,224,5.83,549,223,237,5.84,342,341,11.7
413,237,222,5.86,582,223,240,5.9,343,346,11.82
42,239,220,5.86,352,219,239,5.85,343,344,11.71
420,239,218,5.85,247,217,239,5.86,342,343,11.74
421,233,231,5.96,402,230,231,5.9,341,339,11.87
424,239,223,5.87,708,224,239,5.85,343,346,11.74
425,243,215,5.86,10,214,242,5.84,345,346,11.73
430,238,227,5.91,474,228,236,5.88,344,342,11.79
437,237,235,5.96,620,232,238,5.95,344,347,11.8
443,233,232,5.98,242,229,237,5.96,343,345,11.95
444,240,222,5.89,564,225,240,5.87,346,344,11.77
445,232,231,5.95,208,232,234,5.94,340,342,11.91
446,241,213,5.8,244,214,241,5.87,344,342,11.77
452,239,216,5.82,646,224,241,5.9,345,344,11.77
458,238,219,5.87,638,219,239,5.87,342,343,11.73
459,244,216,5.91,163,218,244,5.91,349,347,11.84
463,231,230,5.93,93,232,233,5.9,339,341,11.85
466,241,211,5.8,554,216,243,5.87,347,345,11.73
469,239,221,5.87,164,221,239,5.87,344,343,11.74
470,230,230,5.94,398,228,230,5.93,338,339,11.89
471,234,228,5.92,494,228,233,5.94,342,341,11.89
472,241,226,5.92,145,221,236,5.84,345,342,11.81
475,236,226,5.87,362,223,238,5.85,341,342,11.73
477,238,217,5.86,441,220,242,5.94,344,347,11.83
481,232,231,5.94,396,230,232,5.93,340,340,11.91
483,240,220,5.88,640,222,242,5.94,346,347,11.85
484,243,215,5.87,612,220,243,5.92,349,349,11.84
486,231,230,5.88,440,232,234,5.98,340,341,11.86
501,234,233,5.95,627,232,233,5.9,343,343,11.8
504,240,211,5.82,442,217,242,5.89,346,345,11.75
550,242,222,5.9,37,220,240,5.86,348,345,11.78
551,241,216,5.84,2903,217,240,5.9,344,344,11.76
552,237,225,5.85,625,221,238,5.87,342,343,11.77
553,233,222,5.81,231,231,234,5.97,342,338,11.81
558,241,214,5.85,664,220,244,5.85,347,348,11.81
559,243,215,5.87,592,217,242,5.91,346,346,11.79
562,235,226,5.8,206,234,238,5.98,344,341,11.81
563,241,220,5.9,348,219,237,5.81,345,343,11.75
566,242,216,5.86,796,220,240,5.86,346,344,11.76
568,232,231,5.92,182,232,233,5.86,341,342,11.93
569,231,231,5.92,669,231,232,5.95,339,340,11.89
570,239,221,5.86,94,221,240,5.89,344,345,11.77
577,239,213,5.83,766,218,242,5.9,344,346,11.75
578,239,223,5.85,415,221,237,5.85,343,342,11.73
581,238,224,5.84,547,222,238,5.88,343,344,11.77
583,236,231,5.97,468,220,236,5.8,340,345,11.8
585,243,218,5.85,241,214,246,5.85,346,349,11.77
587,235,236,6.0,381,227,229,5.82,342,338,11.86
588,245,218,5.89,165,219,246,5.89,351,350,11.84
590,233,232,5.97,128,231,233,5.9,342,342,11.91
595,237,220,5.94,404,218,235,5.77,340,342,11.76
596,244,214,5.87,556,210,245,5.88,348,350,11.79
597,235,232,5.98,565,228,233,5.91,343,342,11.93
603,235,235,5.98,342,228,229,5.86,342,340,11.92
604,242,216,5.85,433,211,244,5.83,343,347,11.73
606,236,225,5.87,699,224,237,5.87,342,342,11.77
609,241,226,5.93,166,223,238,5.87,346,344,11.81
611,241,215,5.86,422,223,235,5.89,347,344,11.78
615,236,232,5.98,778,230,234,5.94,345,342,11.95
617,237,230,5.88,690,219,237,5.8,342,343,11.79
618,231,234,5.95,641,238,225,5.83,340,337,11.85
622,237,227,5.91,417,220,236,5.83,341,342,11.8
628,240,219,5.91,757,219,241,5.92,346,346,11.83
630,240,222,5.91,791,222,240,5.88,345,347,11.81
632,242,222,5.93,490,221,241,5.86,347,346,11.85
636,234,232,5.94,602,229,232,5.94,342,340,11.91
639,235,233,5.94,371,214,233,5.76,339,343,11.75
641,238,225,5.83,130,220,235,5.84,343,340,11.73
643,245,222,5.94,663,221,242,5.92,351,349,11.92
644,233,230,5.92,613,231,232,5.98,341,339,11.92
648,237,234,5.96,432,215,235,5.73,340,344,11.77
651,240,221,5.85,647,224,241,5.92,346,345,11.8
652,233,230,5.94,594,227,230,5.85,342,339,11.87
654,234,234,5.93,653,232,231,5.86,341,339,11.81
658,235,225,5.89,451,221,234,5.81,340,341,11.75
662,237,223,5.86,464,224,239,5.88,343,344,11.77
671,232,231,5.94,1885,231,233,5.95,341,342,11.93
674,240,219,5.91,131,223,242,5.94,346,346,11.87
676,236,232,5.98,138,228,235,5.91,345,346,11.88
678,238,226,5.92,701,228,236,5.94,346,344,11.92
679,234,218,5.8,347,230,235,5.97,344,338,11.77
681,242,218,5.89,199,220,242,5.89,347,347,11.81
682,235,231,5.96,183,230,236,5.84,341,345,11.87
685,239,218,5.86,479,221,240,5.87,344,344,11.76
687,237,218,5.85,768,217,240,5.95,343,345,11.82
691,230,229,5.9,696,231,231,5.94,338,338,11.87
693,236,229,5.87,373,229,232,5.94,344,339,11.85
698,246,209,5.8,341,210,243,5.85,351,347,11.76
7,230,227,5.83,372,230,232,5.94,338,339,11.77
700,233,231,5.97,624,224,232,5.83,338,341,11.84
704,234,231,5.92,697,229,235,5.97,343,344,11.92
